정류장순번,정류장,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시
0,동탄2차고지,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,호수자이파밀리에.아이원,0,1,1,3,3,2,2,5,3,3,3,3,1,1,0,1,1,0,0,0,0
2,금호어울림.계룡리슈빌,1,0,1,4,3,6,2,3,2,2,2,1,2,1,1,0,0,0,0,0,0
3,동탄호수공원.부영4차,2,2,2,5,6,6,6,9,6,7,9,4,3,3,3,3,4,2,0,0,0
4,호수부영3차.우미린2차,4,3,2,5,5,7,9,9,5,8,6,6,4,2,3,3,5,1,1,0,0
5,나래학교.더샵레이크,1,1,1,3,6,7,6,4,3,2,2,3,2,2,2,0,1,1,0,0,0
6,반도3차.금강1차,1,2,2,3,3,4,4,4,3,2,2,2,2,1,1,0,1,0,0,0,0
7,의료시설부지,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
8,리베라CC.헤리엇,0,0,1,1,1,1,3,2,1,1,1,1,1,0,0,0,0,0,0,0,0
9,한화.린스트라우스,2,1,0,4,7,8,8,9,8,6,3,4,3,2,2,2,2,1,1,0,0
10,포스코더샵.롯데캐슬,1,1,2,3,4,5,9,5,7,5,6,5,4,3,4,3,1,2,1,0,0
11,우남퍼스트빌.예미지시그너스,1,1,1,3,5,7,11,7,7,6,3,4,4,2,1,3,1,1,0,0,0
12,상록.테크노밸리.GS자이,1,1,1,1,5,5,6,8,4,2,2,3,1,1,1,1,0,0,0,0,0
13,한미약품.푸르지오,0,1,1,7,5,5,6,7,4,6,6,2,2,3,3,2,1,1,0,0,0
14,예당고사거리,0,0,1,3,1,2,3,3,2,0,2,1,0,0,0,0,1,0,0,0,0
15,전하리교회.우미제일,1,0,1,1,3,2,3,2,1,2,2,1,1,0,0,0,0,1,0,0,0
16,한림대성심병원,0,1,1,3,4,1,6,4,3,4,5,4,1,2,2,1,1,1,0,0,0
17,KCC사옥,0,0,1,1,0,1,1,0,1,1,1,3,1,2,2,3,2,2,1,0,0
18,신논현역.유화빌딩,0,4,5,2,3,4,9,8,20,16,20,33,32,25,37,45,45,32,17,4,0
19,신분당선강남역(중),0,2,2,0,3,4,4,4,9,5,11,15,15,10,15,19,14,16,7,2,0
20,래미안아파트.파이낸셜뉴스(중),0,1,0,0,0,0,1,0,1,1,2,2,3,2,1,3,1,3,1,0,0
21,뱅뱅사거리(중),0,0,0,0,0,1,1,0,2,1,1,2,2,3,1,2,2,2,1,1,0
22,양재역.서초문화예술회관(중),0,0,1,2,1,1,1,2,2,4,3,5,6,5,4,4,8,3,4,0,0
23,교육개발원입구(중),0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,1,0,0,0,0,0
24,매헌시민의숲.양재꽃시장,0,1,1,1,2,2,2,1,3,3,4,3,5,3,4,2,5,3,1,0,0
25,이마트.한림대병원,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
26,우미제일.전하리교회,0,0,0,0,1,1,1,0,1,1,2,0,1,0,1,0,0,1,0,0,0
27,예당고사거리,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
28,푸르지오.한미약품,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,상록.테크노밸리.GS자이,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,예미지시그너스.우남퍼스트빌,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
31,롯데캐슬.포스코더샵,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,0,1,0,1,0
32,린스트라우스.한화,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0
33,헤리엇.리베라CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,공공청사부지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,반도3차.금강1차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,레이크빌.하우스디더레이크,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,우미린2차.호수부영3차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,동탄호수공원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,계룡리슈빌.금호어울림,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,아이원.호수자이파밀리에,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,동탄2차고지,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
